RX_DATA_0,RX_DATA_1,RX_DATA_2,RX_DATA_3,RX_DATA_4,RX_DATA_5,RX_DATA_6,RX_DATA_7,RX_DATA_8,RX_DATA_9,RX_DATA_10,RX_DATA_11
a3818a85,a160de85,a2c2d383,a725430d,a0290581,a0c6ca2f,a2800714,a3014509,a0e40f9b,a082c012,a0868890,a4274602
a0834486,a4a1448b,a02c872a,a0600c0e,a008c293,a201c781,a165019f,a5218c00,a021c905,a3258105,a0218308,a5804300
a2e04091,a061cda7,a1211091,a022471a,a0a48d18,a0a7c880,a0c4868a,a4c201a1,a0e3c5b1,a048478b,a0a10181,a0e0cc90
a2a0179e,a2a3019d,a1614085,a401430d,a3064298,a0428485,a0274183,a060c917,a2a18587,a180848d,a7218102,a0104308
a145d39a,a423818b,a080828c,a0e4ceae,a0a25783,a1020688,a0224218,a060830b,a22581a0,a3000288,a0008204,a1420907
a103c601,a223469b,a3828081,a42a4708,a6504e11,a0c3e082,a1808395,a121c392,a4034500,a6c48292,a029441d,a225c80d
a389a795,a7014711,a1e08617,a2c00021,a1604886,a0e60916,a001408c,a121810d,a0718204,a3808980,a0e08294,a0400304
a0a81015,a3600203,a0e20017,a020061c,a040c90c,a0e21382,a0408012,a0e60301,a4614e0e,a1234101,a1e3c503,a7c08b9d
a3a18693,a2824611,a4a0028e,a385480b,a04489a5,a203d608,a2c48081,a3208181,a2404a85,a0220ea1,a38bcb22,a3628607
a164c483,a062021a,a065898d,a24743a8,a1a18485,a400d00d,a106418d,a6c0daaa,aa050888,a3008085,a2c2820c,a6a18889
a0a0c187,a1424082,a1c1cc06,a0400923,a0e1020b,a1a2c480,a0050911,a180020f,a002419d,a1458903,a606801f,a301818c
a0a1ce89,a226812a,a0074b80,a063c797,a0ea1c20,a061890d,a004808f,a1210783,a002ca91,a0e28a08,a0c1c688,a1f00c82
a4a96e91,a1211085,a0628384,a285ca88,a0420090,a0a1ce01,a0429a9f,a2e84087,a1a1430a,a3a08299,a3031606,a04242a2
a0210683,a1608081,a0ad440b,a3644b87,a7628799,a1e2430e,a04f3e83,a0288306,a005c806,a02b8803,a0294106,a1a089c7
a0c0010f,a0a40509,a0c10503,a1a0c483,a022008c,a20009ab,a1438518,a047878c,a3000081,a2438482,a021c007,a1a29584
a0034909,a1a94d12,a1a0998e,a4408988,ab458885,a1c04201,a0e10007,a1e20205,a0cb8a92,a2a0cb05,a10a0011,a042088e
a1c30187,a1040412,a3600288,a3250d0e,a221d407,a0cb0101,a0054d0a,a1040016,a0218c03,a3620683,a221858c,a2018d8f
a120160f,a460040d,a0434882,a0028414,a5e20489,a0050013,a0a68308,a0020391,a1c1c303,a3248483,a3248681,a0e0c13d
a222c682,a1418a89,a022821e,a0e29701,a007808e,a040cd02,a24d438b,a2038c99,a3810780,a1638202,a02a4398,a2824005
a0870007,a069850e,a0638402,a1c2c180,a1204089,a0620b84,a120c985,a0600123,a5804983,a1c5c125,a021c788,a3620117
a0e34300,a183d181,a0e48383,a2e9c300,a3c0110e,a12200a8,a2a3428e,a2c2c685,a0014381,a0818216,a0c2029b,a2e10226
a1610189,a6a64494,a0410ea2,a267cb03,a2804c00,a5678388,a0a00488,a000c2b5,a10dc123,a0200629,a204850f,a1860a89
a1230604,a0464195,a1810293,a2444083,a1234500,a0a0d08a,a2658200,a0c34021,a0058482,a00fc880,a401801a,a083c901
a3624587,a3e2440e,a3040414,a0248100,a3acc586,a0414686,a284cf04,a2e001bf,a143cd05,a1670d83,a047c091,a6a04e00
a0e10b06,a1808185,a0ad8892,a340861e,a006c681,a0208200,a421c400,a385489d,a360c280,a644020c,a120821a,a1674b80
a084438e,a129479f,a1a28101,a0a50987,a462c109,a0e54601,a0214900,a1a40906,a0418083,a762420d,a020458c,a1678084
a2214902,a1c08404,a0ac8d11,a1830301,a4820b85,a040830a,a2c29701,a3221182,a0418994,a028c38a,a0088f02,a0c4c20e
a0c100ca,a081a38e,a0e05103,a1f20604,a0015203,a4018009,a0018205,a0c04085,a1e24b01,a120860f,a1c240a0,a0054c05
a0e905a7,a0219698,a0430c85,a0408186,a0800781,a00d51c7,a121c405,a0e1819b,a2a18322,a0c0851a,a0a0840f,a0e34491
a1204802,a2034331,a0aec017,a0a24189,a2830583,a0c8cb90,a1200093,a0c00082,a1471687,a0a30008,a2c04420,a0058405
a445c207,a062c024,a1424583,a0ed808a,a280481f,a0660413,a0c10c95,a0840e84,a8e24814,a1c44607,a08184a2,a1c08024
a133d484,a0a6cb80,a7000582,aa23058b,a0818709,a12a8200,a2048882,a14b1d0a,a1420604,a2200c91,a9018293,a0c0d195
a103c400,a0a34180,a2810982,a008c001,a20483aa,a0c0409a,a322c181,a6cc830c,a08209a5,a0a3c38e,a40c4105,a3030208
a0658101,a2c1a8b9,a0264585,a1200e94,a0410201,a90e800b,a246648a,a0210989,a5e60a93,a0444185,a205c78f,a0644907
a025c101,a6414089,a0a6d40b,a0e3c781,a2e4c121,a0a04807,a2238283,a121000b,a0c00ba4,a0208431,a323d58e,a1a00b08
a024bf8e,a02e8f8b,a0474801,a163831a,a0004904,a312c3ab,a1238195,a000001b,a143c216,a1029b82,a0004208,a3218188
a1210409,a1204c85,a021420a,a0aa0000,a0a2931f,a1010584,a169048b,a2a0c882,a1844397,a3004a80,a1a0c323,a0800406
a2e7c888,a16a838e,a0e89886,a123438e,a0c20981,a2634100,a0630005,a031c003,a168408c,a161469d,a3a1c18a,a0840b22
a0aa801b,a1834280,a0020805,a0408f82,a1c08703,a500070c,a002a506,a2a0c404,a1c00703,a0434780,a6c10515,a262008f
a0270296,a043cb0f,a040cb9b,a364c0a1,a0a2c106,a1008004,a0604804,a5018983,a000c117,a1224798,a001111d,a5270624
a4244402,a342d488,a0c20127,a3a30802,a0e08284,a020c605,a6828d04,a2235407,a005da00,a2c0009c,a004448c,a367c9a3
a227c282,a1818485,a4648a0b,a2234c0c,a2a4c506,a0028002,a1600a93,a04a4602,a1888184,a1424483,a0a08487,a20080a3
a0250281,a0028886,a040c314,a00e902e,a1624204,a02ac11a,a225c201,a180c184,a58cc588,a963c200,a4259c00,a1b0829d
a2834d89,a2c00306,a2880385,a042c583,a1631700,a1018301,a4814623,a3604103,a1068507,a066103c,a2e28586,a0c0c189
a040c58a,a1810739,a0224a89,a1808203,a4504122,a228871a,a1a1c291,a0a2501f,a0054981,a2e40611,a2a28180,a1214284
a0658101,a0204300,a0e2c305,a12fcd8f,a4630581,a0008085,a1c88544,a2a4c489,a1460008,a1a00482,a1618193,a0e40486
a0c48005,a7404021,a0204288,a8604186,a0404088,a441028a,a063c818,a0218780,a2820617,a0024281,a2600906,a482800d
a1808120,a381421c,a2818300,a0600b15,a0870406,a2a4490a,a209c580,a0a08015,a2ca0502,a0c64d02,a001c217,a1e88219
a106c102,a102c600,a1e10582,a0a18388,a0200481,a0e0000f,a3628086,a6c14802,a6810285,a0a14290,a044c307,a1c4001a
a24905ac,a2890909,a28482c6,a4638b02,a3c28787,a3704288,a201c200,a280c684,a002040a,a1a84181,a2051d86,a027c98a
a481028c,a3c00383,a0034200,a348c094,a4eac509,a2014289,a0a08081,a3a10901,a2c48723,a1844184,a4220d8b,a0e58b95
a3241393,a022480f,a002059d,a046c481,a2254a11,a105cb90,a0c14184,a22ace10,a262c187,a0620101,a1424393,a5018390
a02c4318,a02109b2,a10240a9,a0421691,a28489ab,a0230206,a3a2c409,a0450193,a0c78295,a0618724,a100cc00,a3e14409
a1a0830e,a061880a,a1418687,a084c60e,a0e1028a,a0400000,a0630305,a026c988,a0e58801,a281c400,a091851e,a1ea4e04
a1008019,a0838384,a0a55082,a0818402,a3614c0d,a1858192,a0a05698,a3000b80,a2c65c0b,a264c002,a0420202,a200a385
a1410783,a4c04702,a1020798,a0ec478e,a30f8928,a3428711,a1498822,a2268280,a2e55100,a1ab8219,a4060e80,a0a0810e
a103c01c,a3838109,a1228114,a0e50484,a3608135,a2c40987,a3a2c31d,a381898e,a1a7859b,a2019201,a0014d8e,a145401c
a080cf85,a0828606,a1454110,a2498884,a0e1470e,a9a04319,a0c38393,a0a9849e,a1630584,a0864717,a0c0828a,a0011389
a0e6c498,a0009f86,a2060218,a0e4800c,a047c406,a1850606,a1600680,a4c04911,a0004584,a0834306,a1a54d1a,a0624d98
a126c123,a1200115,a0024784,a0818485,a00bc285,a065d33b,a2278197,a1408306,a044910e,a0244b31,a2818287,a0e64733
a020c403,a06c491e,a162170c,a0234084,a1210a8f,a0618c0a,a0480097,a008c11d,a4219106,a1e98006,a4c08919,a2e89812
a0e98105,a4420801,a0ca0520,a345c408,a1405614,a0c48089,a060c79b,a022c100,a000800d,a004850a,a102c986,a4e14182
a2c88001,a0e3c308,a2804006,a5a9028f,a1654103,a1010299,a0c01388,a000da09,a1234f9a,a0820702,a0668480,a0000104
a2020400,a047c58c,a1a14481,a2628b01,a1e04687,a0a04a0b,a0415e2e,a3a9c0b1,a304ca03,a0c645c3,a060c300,a024c38d
a1676780,a0608007,a06442a0,a041c383,a0614a1a,a164800c,a68a83a2,a08c4582,a0214d01,a5c68003,a1c40886,a2258491
a0804199,a2a0598a,a162c707,a33a8285,a0e4478f,a321491d,a3014d01,a223550b,a146d286,a004c38d,a1240021,aa22c81e
a0a54615,a5004726,a1231336,a0a383aa,a088d507,a2a0d501,a14c830b,a5220586,a00a498c,a2220306,a005108d,a2008501
a0208406,a0c20584,a4600010,a321c000,a353cc13,a302c186,a0314b8a,a0424880,a1004503,a120c08a,a142c80a,a3238313
a3ca4808,a0e0d51e,a1c1cf19,a0868505,a0c04192,a080c285,a8a0039a,a0a34b3d,a1218022,a141c183,a128c203,a1890b0c
a1a00b0e,a1818088,a080458a,a1e1002e,a0a2c088,a26340a7,a0814a32,a16684a1,a14a4310,a101820b,a181441b,a143cc8c
a429cc9f,a9269c84,a2ccc887,a1a40500,a2668415,a4404104,a102638e,a0cf0596,a52e8d0c,a0434195,a144558a,a0278520
a1614182,a1e08701,a0e00d24,a0e00083,a2430296,a0020083,a5e2c182,a2c10101,a0414100,a2438202,a1830293,a1624020
a4a2038d,a0408c03,a3684d03,a000838a,a1465285,a222c183,a081848f,a042430c,a6a7c984,a4c6c70e,a1a2c029,a0e702a2
a441c0a2,a1034385,a029891e,a0008c9f,a3c04289,a282dd84,a169411c,a140c20b,a0030211,a064c097,a460019c,a140878e
a0f0478d,a0020590,a0804412,a240c991,a0c34089,a1a544a8,a0c01406,a4e0c5a5,a8474380,a1a5c203,a0414195,a5810601
a149c011,a001c381,a0058782,a1a7c384,a06888a3,a0c04b03,a242051f,a1658307,a0250a0a,a1010204,a100c406,a0a04580
a041c118,a007c289,a5615705,a0c8400f,a026038a,a6200681,a1088241,a102431d,a182172f,a025c506,a0cac297,a008418b
a1814606,a008820f,a0811519,a3048188,a1a58b05,a041c20f,a3040304,a0445a07,a406c202,a4c1c6b0,a601478f,a1264013
a0629112,a168c214,a1e0ca99,a0a4038e,a0608584,a1828010,a0c59008,a3c24410,a8014083,a00c8321,a1e08816,a0614082
a163490c,a200d017,a0238f8b,a7e5068c,a0640610,a0074306,a840c415,a38a0100,a001c302,a441c808,a1840300,a1c10402
a1208907,a044400f,a0208d83,a0a1090f,a3c1c605,a3e1c907,a5620383,a360c316,a1854000,a025409f,a0204102,a2a0070f
a3a00500,a1e7df8b,a005a604,a201040b,a0009692,a300c315,a2c18480,a0258312,a4020695,a1000689,a1208601,a0840681
a2c3c183,a0a0c69f,a0210316,a082cd0a,a1a6868d,a4821000,a160cc02,a1870139,a223c701,a080c083,a4c2c0a0,a0808417
a103008e,a0e4960a,a064068a,a0004300,a0a0c32b,a14090a2,a12a010a,a628c78d,a1048a0e,a1224017,a660c30a,a1028c03
a040c204,a0838007,a062c515,a3ef4e8d,a2200189,a0e2c48c,a1614904,a1410281,a0a38010,a12d4a85,a3e39407,a001c302
a009c40a,a000ca86,a2e14387,a02c4787,a0ae0b0e,a182c680,a04d4400,a0810c8f,a380480d,a0060b03,a9604103,aba08a81
a1c74112,a286d102,a0238486,a203871d,a3810006,a4664385,a2aa8004,a1241785,a0c1c08b,a1600084,a2218008,a4c84326
a049051e,a2e28619,a0e85309,a9440f8c,a3610e00,a062010c,a0011d06,a2c10807,a1044795,a1010102,a0015291,a100d594
a0045312,a0458007,a28f0985,a023880c,a162c600,a0a2440f,a200ac00,a1234185,a7a2418a,a061c38b,a103419f,a4841a80
a1a65404,a1a3c215,a2830987,a2c6841d,a0e10700,a0c01586,a023dd0a,a2408784,a08009b6,a0e0030f,a182c489,a2628002
a2220213,a3280480,a8041311,a222cb02,a0628114,a2854891,a3414787,a1200280,a7466d03,a2f28412,a0214488,a1260091
a2e1ca13,a149429f,a1204086,a002c482,a1a0498e,a045830a,a02bc808,a3474601,a18102ac,a0e18902,a0404104,a4039301
a0001205,a5a3c205,a4c58602,a0864188,a268c08d,a0c25194,a1070318,a1104117,a0a2ca00,a0e38117,a302c181,a2858221
a0c44005,a0080109,a160c499,a269cb2e,a2e1c212,a0e70492,a0e50700,a0414606,a0e20c1a,a6818081,a0610311,a040c109
a0e1c281,a2854210,a0408190,a4614a02,a1a3c404,a0e0c985,a2800422,a2410102,a0a488b6,a061820a,a0c0ca82,a52ac109
a0c140a2,a085c283,a1c7c48a,a105930a,a1414103,a3410383,a1e1ce85,a3660204,a12000a1,a3600118,a0624485,a261c90f
a168c704,a0608003,a160c706,a3c44207,a184c013,a291c186,a12104ba,a0014a01,a0628087,a0604e0a,a221068d,a5e10592
a1c04088,a0210c01,a2416b84,a1c0028e,a1470b87,a06b0082,a0040406,a1820b52,a1a10f9d,a382428c,a1604504,a0030281
a0848b17,a1215186,a2430580,a2210c00,a3a00309,a1c18805,a1a08e21,a3424a20,a0414888,a0610207,a1e20694,a5204881
a1cb038e,a0b0c192,a227838a,a0024587,a0858808,a209498f,a1a31007,a2020d05,a3610382,a0024524,a0e58206,a3e0c8a9
a1a2078d,a000c583,a0e2889c,a1e10229,a0a000a8,a903c287,a0254287,a12e468b,a0400a04,a143898a,a2612202,a0060792
a4850a1d,a1230787,a1c04704,a5008986,a082c007,a020c19a,a2424283,a2014107,a18b400e,a162c804,a1e09289,a1469114
a1610104,a261cda1,a081cc02,a1800f14,a0428187,a101060a,a0204113,a4238b80,a109810a,a1240519,a421cf4b,a1a0c185
a202068a,a0048515,a0200484,a142c10f,a10f0110,a9e0458c,a1420618,a0e10138,a3a0c083,a6a20980,a160000f,a3c20008
a4224c88,a0e115ab,a1848701,a522028a,a020cd0e,a40045a1,a60203a2,a4200e80,a6018181,a045410c,a3c04a15,a5a30481
a2a09301,a542810c,a0645404,a1820484,a06a668c,a1e2168c,a08a0207,a023021b,a0480588,a160870c,aae3c784,a0a0c590
a3a68c11,a0201488,a0a00500,a0a48312,a1e0409f,a524118d,a181408f,a162090a,a2406011,a1c245a7,a2e45389,a0e1a18b
a7024827,a0c28382,a0c24107,a2e48d1a,a2604904,a8228580,a5058e17,a2604a90,a0010004,a5e14500,a144d91b,a480c08e
a0c04429,a023ca09,a0440202,a0610706,a1400304,a0fb8413,a0224689,a0810103,a3420606,a0260087,a1212393,a2250a85
a120a10c,a3435205,a4200107,a0478a8c,a084c200,a241c724,a282451e,a0e04f8e,a1230800,a1038997,a0a65415,a065900f
a0e18c82,a1c4c09a,a401870a,a321408c,a0c0838b,a1a3420a,a221091a,a1030709,a24d4012,a1600a1f,a3600184,a0270a01
a145c485,a0618ca2,a02d0102,a2e28184,a5eb02a5,a2218c0f,a1891354,a0e20500,a6a24184,a6454507,a0860d01,a2000c84
a462880b,a042c81a,a241c1c4,a1024293,a0824114,a2e4c200,a042d52c,a1e0d709,a2204102,a0c64101,a0e1023a,a0c9c001
a180400e,a0c08012,a105081f,a081169c,a0c3c20b,a5a3df0d,a0401291,a0245684,a0466d8c,a9e35205,a0218b32,a0c30e01
a200c0ab,a1c0c395,a2e14228,a140c70b,a240c617,a1a1c713,a241d380,a0e1a00d,a1024533,a588c61c,a0a3c305,a0a38493
a0a1ca8f,a022c409,a0e28814,a0644213,a088418a,a1c04500,a0c1d211,a5014007,a229828e,a1014785,a003829c,a1298fc3
a4064386,a080c01f,a0a187ab,a6848185,a2270927,a0408104,a043030a,a5624804,a0018684,a062482e,a0288889,a1660211
a1028412,a4838991,a0008f81,a566028a,a4a00994,a0c28005,a2e2c709,a0c28220,a1000496,a10100a8,a0608c80,a0438a8a
a4684706,a2200787,a000c017,a1239298,a122518f,a2424118,a2a08509,a180020a,a4e0c030,a0240128,a7a98882,a000c50b
a0a10313,a382c003,a0830704,a04e4601,a4e14004,a001c209,a5c0c687,a2814518,a021c786,a0034707,a0669008,a184c817
ab06c0a6,a061ce02,a0e2e190,a060c403,a1600587,a0400e85,a0ecc28e,a101c200,a1a184a3,a3608799,a9048783,a2a18c09
a2c00e0f,a2e10400,a0c48308,a0c34540,a5434001,a1834593,a0224016,a0e086a5,a360008d,a0459d82,a3438a87,a046068b
a124d108,a187c18e,a1e1518e,a1e2802f,a0e04004,a0838d11,a5a2c181,a2400104,a202c1a8,a087c483,a6434781,a0870109
a2e00214,a221801a,a062400d,a0804e82,a046c382,a2a98096,a1460604,a1a48395,a3c3c014,a00600a0,a0099015,a00c83c5
a0890681,a0824286,a2e0d7ac,a302c010,a3424281,a1e08208,a8238784,a104010c,a1418f11,a060c608,a242021e,a1c05c80
a080d116,a0c18990,a040230b,a1e1c092,a1a08182,a1834d9a,a065068c,a0400481,a0210105,a285110d,a181038c,a1204217
a0e34308,a48bc515,a022028d,a0204583,a6a20791,a0060093,a0a0d310,a0a18b2c,a3244011,a1a24704,a1844895,a2878386
a1abce01,a0a24481,a584c604,a3a80404,a040419e,a0220291,a1528709,a341c50a,a040c583,a1c10513,a042c380,a0020211
a1a385a2,a0408514,a20147a9,a10d8501,a0204391,a2a7c98f,a0a50582,a1a0450f,a160910b,a1044291,a0464425,a021c002
a1c0800d,a0a34a85,a46cc189,a1038298,a123c292,a0c0831c,a1e15013,a1e10017,a28246a5,a2024110,a0a25583,a5b14a85
a3e30104,a0a2c899,a040430f,a4220ebd,a689c104,a3e04101,a6c3108f,a0624d83,a0250106,a40b9481,a185c30a,a046428e
a2a0c789,a0a5431c,a0a0c889,a0078e88,a0cdc189,a0091428,a1a1c109,a041418b,a020c780,a1e08122,a1e79384,a1434012
a081c68f,a0284783,a068c295,a2c8c073,a33a5587,a0c09492,a2480181,a100cb08,a0a68a02,a2414390,a240420f,a3eb0a91
a06c008c,a1200005,a0414812,a10b43b5,a0090b07,a0c48f0e,a0a00418,a0240f02,a00b823a,a1644387,a180050e,a2a35287
a12002a1,a2a4c796,a0634093,a2c1cef7,a002819d,a203440c,a2a10b12,a2418d0c,a0a18013,a040178a,a0428092,a5010201
a161ca08,a3400602,a1238008,a0808182,a4018d0d,a000ef81,a082004a,a1e2d596,a340878e,a081082a,a2814c09,a267d68e
a1c38f16,a0400288,a32a1087,a20392a4,a2a44414,a066c3af,a0260482,a004040a,a460159b,a0470001,a1460205,a142c007
a0ed8c88,a0a00100,a0a1c102,a04a831a,a5028495,a1c68293,a1228105,a027ca22,a100cd81,a0844107,a0c4c71b,a3c04100
a0c00c05,a3e08689,a0000186,a3804403,a0809995,a0610180,a0c18f01,a08b5905,a1894300,a0c3caba,a124dc8d,a1a0ceae
a024c702,a624510b,a2adc003,a2ccc420,a2024d13,a222c1b1,a1664102,a48b0692,a1040c07,a0eb850e,a121c398,a0e0820e
a1e08007,a160cdb0,a2e04193,a2408483,a1014503,a120829b,a000ca8d,a183830d,a0a5c283,a0a00184,a1c00283,a1a2050a
a0c34284,a084058d,a0c5d305,a2e1031f,a3244192,a0c14404,a10303b6,a220c588,a1014005,a680c189,a38d4d33,a1e14210
a042c101,a1a64880,a00b0b17,a345c288,a047080b,a1408000,a06a0b02,a0258486,a0e6c093,a280d40f,a000458a,a640c604
a060490d,a2610391,a0604386,a184020a,a0600587,a0ea868f,a041cd0a,a00b801a,a1248d01,a501ce93,a5a4c180,a1a6c604
a6424b9a,a0270695,aa634b07,a202c39d,a1234602,a1825003,a00c8107,a1c14010,a2a54208,a042010b,a0468782,a18a450d
a081448e,a0418781,a0410189,a1738a3a,a0240883,a1288523,a023868d,a0c18393,a0c0939a,a764c089,a0a5805a,a2a24009
a0c20183,a0c10819,a184c825,a2c80285,a1028522,a0444d99,a6a48e08,a421c404,a0a64199,a04185b5,a0841823,a5e18206
a425d101,a029c180,a080468f,a0859b0b,a0238017,a382820f,a2a04cb7,a022ca8b,a0c08020,a4c18402,a1a04b36,a2404480
a06f0025,a0408000,a0e8831d,a585a984,a020c101,aa811490,a2a8409d,a1c682d9,a1414984,a060870d,a069c387,a0c28626
a1c10618,a425c319,a1a38207,a3c3078a,a2424693,a003430b,aa42c493,a0010485,a3e04282,a065800b,a1255402,a0021187
a1830717,a062008e,a100830b,a3e3c9a7,a3200a1c,a0a21a90,a08044a6,a0830302,a3604511,a147c684,a0c3480c,a4e6c298
a128408c,a0604614,a621c102,a3e1c402,a320ca8b,a1a08903,ae440192,a10506a2,a0c39326,a3a78d03,a1034319,a1e5650c
a282c104,a4600389,a2c50806,a2488394,a124c700,a5e14283,a1c04601,a6030180,a1674792,a162ce98,a0020023,a0204613
a0e0c085,a0a5478a,a0840680,a0e20203,a2cb888b,a067448b,a147d480,a3001418,a380c086,a1ac880d,a144d029,a2f34a06
a2800088,a5800c06,a2000c09,a0c1c509,a080cb02,a2c04008,a1e40381,a2250910,a0600181,a0a0c488,a0804307,a0e64f90
a0074389,a3834408,a1018080,a0aa5106,a0244611,a02101c0,a1001a84,a06e0611,a1224da8,a040d9a3,a00385a6,a062072e
a0c48004,a1c28f09,a4e0c483,a5e0408c,a3a04980,a08b4314,a0444001,a1c28987,a1e54d8b,a4600304,a1a00299,a3c24500
a140ce01,a001a182,a1c3c097,a024d203,a8430129,a503cf82,a0e4c387,a3c10285,a0020381,a189c6a1,a1234287,a183010d
a340ad81,a1e08d86,a380c187,a2204018,a0a25001,a0c34185,a1648392,a341051d,a1ab450f,a0e4440a,a1414507,a1604288
a0e14906,a4018287,a0e18089,a362858d,a0e0050e,a1cd4097,a0418302,a0ebc785,a0000683,a1a08007,a4050b81,a1ac8d2e
a2a30d12,a2604712,a2408ea5,a0a0460e,a026ce9d,a08c0083,a1c6cc92,a189c801,a0000396,a0030197,a240411a,a2278200
a1495f06,a1e94109,a2a11303,a0605388,a781449f,a0a9c30b,a0e15594,a4a10d8c,a2644005,a4c28107,a0224382,a168c596
a1cb0f85,a0628001,a240a403,a161cc91,a145401d,a2201005,a0020504,a1224003,a4454e00,a484090d,a2860284,a24581a3
a4204213,a1201200,a321488a,a1804f93,a24ac1b0,a260db03,a0804c9a,a243c00b,a3c7c181,a2608599,a4c60102,a342050f
a0410b99,a25b8505,a104c08e,a060800b,a1829605,a0038105,a342c517,a0284089,a2e08685,a1e54301,a021cd03,a280c10a
a38085b5,a1610801,a0af4105,a0024708,a4601b01,a1e1088e,a0e0c9bc,a1604690,a160c084,a2048196,a060c185,a0210182
a28c8182,a581cf02,a3a50103,a0058900,a5a08305,a087d709,a6c8c73f,a464c285,a101c580,a142061b,a3a01316,a280420b
a0c7408f,a100011a,a0c20297,a2a6810d,a121408b,a2804897,a006c120,a266c608,a3658500,a000c405,a1e08289,a64bc19e
